,Text
168,'@hinaparvezbutt Leader to aap ky Qaid jaysa hota hay jo apnay matlab ky liye kisee ky aagay bhi layt jata hay .'
169,'@Kunainshah2Shah @majorirfanakbar Ameen
170,'@kishorikemohan Unko chodo
171,'@sda_0505 Tanhai. Aap batao'
172,'@SSRkaFan @Bakshi4ever @Satya91539128 Thank you Dear \n\nWithout any doubt aap bhi bahut kindhearted ho\n\nKindhearted Sushant ke Kindhearted Ankit\n\nGod bless you always'
173,'@MrsGandhi @SrBachchan sir
174,'@yadavakhilesh Yeh yuva ka aakrosh hi aap ka sehyog hai.'
175,'@ImranRiazKhan Khan sb syasi bayan dy gye hn na aap   😂😂😂'
176,'@mishi_baji Aap hi bata do aap kr chuki hongi'
177,'@Purvii703 Hii bhabhi kaise ho aap https://t.co/al83dq3tF6'
178,'@DilFakePandey @ImranKhanPTI Bohot Mahan ho aap'
179,'@aparnabisht7 Madam aap galti se mulayam ji ke parivar me aa gayi aapko Jana to yogi ji ke parivaar me tha.\nAaplog manuvaadi bhi he aur bistha bhi.\nJay shri krishna 🙏'
180,'Hey kahna aap mahan ho 
181,'Andbhakto bhik maangana mumkin hy aap logo ka mudi hy to 😂#ModiHaiToMumkinHai'
182,'@Rofl_Vishvas @DrKumarVishwas Ye bat to bjp congress inpe jyada lagu hoti ha inko 70 sal ho gaye ...aap inko 3-4 sal me hi gali de rahe ho ..Rajasabha ki seat ka dard'
183,'Jo log neutral diplomacy mein yaqeen rakhte hain: agli baar jab aap bike chala rahe ho
184,'@betterpakistan @majidurrehman Bhai aap khao galian. Ham mohazzab bat kartay hein. Agay sey gali parti hey . Ham kia jakar youthion k galay lag jaen. Ley bhai aik pappi idhar aik pappi idhar'
185,'@Rofl_Vishvas @DrKumarVishwas aap dramebaj ha sir..'
186,'@aniqnaji Aap ko to Youthiyee aur boot paalshiyee Bawlay kuttay ki tarha gaaliyan nikal rahe hain'
187,'@misspurpleann @TimmermansEU @ZelenskyyUa @Ukraine Bij de eerste rechtstreekse confrontatie Nato-Rusland duwt die aap vh Kremlin op de rode knop en komt de MAD doctrine in actie.\nDwz
188,'@Maverickmusafir Sr Rajnath singh jo bolte hain.. Aap usko hinglish mein dikha rahe ho.. Amma gajab baat hai ye'
189,'Aap log ka Kitna bhi mein Kitna door banta hai bhai https://t.co/1fyHOFEtW9'
190,'@Nikloshabash aap ko bhi'
191,'Most definitely Chicago’s Outer(net) @AusarMusic @KiralyPayne @IsaiahG_AAP @madmyquale @AaronDeux https://t.co/AbzT5LVNtL'
192,'Know what? Aap apne pathetic conversational skills kay sath guzaro zindagi
193,'@MonaAmbegaonkar Kela lenge aap ? Kata hua'
194,'@ReviewsKms Madam aap ka badan Dikh rha h or islam me har keemti cheej burka or hijab me bnd hoti h\n\nOr ek baat tumhare pahredaar h na unko hamari  bhasha me atankwadi kahte h'
195,'No war aap sabhi ruk jaye Kyo war kar rahe hai or Putin aapko kis bat par gusha hai'
196,'@suryapsingh_IAS Apki ga0maata ny aap ki apni maata ch0d di😭😭'
197,'Exactly
198,'@RehmenInshera @IamRealSohaibK @terigalii @mahaxrf Apka lala ab mera bhai ban gaya hai 
199,'@Brasstacks87 @HimanshuBR28 @VISHAL7006 @ANI @JM_Scindia Dear Bhakts
200,'@JennifeAaniston @tosif_farooqi Mere ko mention ki bhai Jenny ne aap samjhe nahi'
201,'@bahl65 Sir kabhi humein bhi moka dijiye aap ke sath 🥂🥂🍾'
202,'@farzanakazimim @RizwanaKhanMIM @FaiyazAhmed1961 @asadowaisi @akbarowaisii @imtiaz_jaleel @warispathan @DrGaffarQuadri @ShakirShaikh82 @Rashida50193591 Masha allah allah aap ko aur izzat se nawaze ameen'
203,Agar aap ek baar sabr karna seekh gaye then there's no turning back.
204,'Aap name to comment me batao yaar https://t.co/RywMoUbwRF'
205,'@AnwarLodhi Aap ko bahoot takleef hain'
206,'@DrParulChandra1 @ZQIndian @Vinay_Dwivedii Mam/sir
207,'@KingManish03 Arey mai toh hamesha aap se baat krti hu
208,'@Shehzadiii2222 aap aur mai mil ke is se zyada tbaahi mche dn ge'
209,'@drdwivedisatish @ManojTiwariMP @BJP4UP @BJP4India Chor mantri ji kha the aap 69000 me ghotale bajmanti aap ka swagat hum 69000students krege'
210,'@AamAadmiParty @ArvindKejriwal \nKya baat hai bhai... https://t.co/Yfcd0XnhyM'
211,'He is injured thats why he is not in 11...aur  ishan ke against jo aap aise bol rhe ho to fir pant ka v to yhi haal h kro bhar t20i me https://t.co/nNUhsTOcsp'
212,'@Jayant28500535 Maine kahan target kiya\n\nWoh khud apne aap ko Brahmin bata kar... Non Brahmins ko troll karte hain\n\nMain toh sirf unke Sanskar dikha raha tha'
213,"@GautamMirdha @pbhushan1 He has done more work in 8 years than your FakeGandhi dynasty's 60 years( ofscams &amp; lies). Aap baith jaayiye, sab jagah hagna bandh kijiye. Modiji ne shouchalay isliye banaya ki PidiLog public mein Potty karna stop karein."
